,A,B,C,D,E,F,G,H
0.0,0.49460693265888533,0.023022718454450964,0.0,0.0,0.0,0.3044709358939542,0.512238918021901,0.018620362857322343
0.06202,0.5006645496530058,0.006317041708100399,0.026002022120364555,0.007094517789635189,0.0,0.2935468455961239,0.5246898142419126,0.022964532223275005
0.25798,0.4243443051626886,0.0714000924419404,0.0,0.03851535348898642,0.0,0.28090286730652303,0.4901466305667465,0.021033834908469932
0.4,0.3747136854974195,0.04477771225313259,0.0019251555833117537,0.1022240165232314,0.014667013519279704,0.2775458499688539,0.5083831153495412,0.04146589056071638
0.46202,0.3445184582773682,0.060010500865931404,0.0,0.05830997123031312,0.0,0.30393274087693817,0.47036597768172844,0.008178988779478272
0.65798,0.2942470849162645,0.05074194161318578,0.0,0.12960008153875371,0.0,0.2610151922883731,0.5350679238458644,0.01367027804981441
0.8,0.29589292241370085,0.08743985050532947,0.0196369643734785,0.1406406461604356,0.0,0.22923183256674104,0.5061964709102578,0.027796832198610143
0.86202,0.27242662638695164,0.109784549913541,0.0,0.17002709197562407,0.0,0.24312252526120434,0.4949334902746121,0.029383341094838013
1.05798,0.2146160905071081,0.07115014197600787,0.0,0.10820265121440106,0.0,0.251161158050486,0.42868009572529864,0.04364403499742912
1.2,0.16757441492101913,0.09029142433947646,0.050573950822892656,0.17311816239143715,0.0,0.26778106148927794,0.469093299934368,0.061585915563515635
1.26202,0.18119987313839026,0.08544693164032877,0.050050585133144386,0.18285450229640923,0.0,0.27372747605246023,0.45015371271885335,0.06689332215398697
1.45798,0.17446821136378407,0.10862773093885666,0.0,0.19189906932245746,0.0,0.24642285988980164,0.43366010321371484,0.04746945828655899
1.6,0.15352516096149846,0.13120489551529632,0.014353344307880826,0.1884477904251859,0.03219811788664029,0.2500375816160328,0.4601480590371061,0.047697858840912793
1.66202,0.15441756732655512,0.13960823996452573,0.005772500661594847,0.20368101298723168,0.021804083381988068,0.22892212337542364,0.4412403394232117,0.07645218262442542
1.85798,0.13918931723909406,0.1609707746258971,0.0,0.24129393086839723,0.03640984910057794,0.21457322156016076,0.43723681118245217,0.08335166334489877
2.0,0.10025186364900601,0.13643617685496862,0.017195879591139825,0.18870110687608696,0.01334475262635672,0.2773905921014415,0.4559482329463599,0.052172602553061186
2.06202,0.10600265133494527,0.12505126524094037,0.011965832417973117,0.19578579257998105,0.02291589648975717,0.24127988841352538,0.4203010595406252,0.062013792642955146
2.25798,0.14899721449012443,0.10307852478210079,0.0,0.20341236694792766,0.04516907489202322,0.23716566440207884,0.44541260791773457,0.0791725222306497
2.4,0.08939937177987302,0.1115596421481923,0.021319446036128335,0.18689705970597442,0.0,0.20089145700240987,0.41655442991050906,0.0798966716363058
2.46202,0.08257449139071223,0.1276077282148737,0.008006551736700928,0.20263806529592696,0.04184163810467398,0.25238521194181757,0.44819209844281227,0.05668140596278205
2.65798,0.08892119910005818,0.11002024662758829,0.0006166740686007997,0.21885901890414375,0.01793393711395152,0.222242013318064,0.4074800794614774,0.09144921331628636
2.8,0.08201594454883296,0.11646679236479293,0.029321029782852902,0.2249064518025339,0.0580456917383084,0.2415090501760159,0.41916160787506496,0.09097536619109978
2.86202,0.04731469562519079,0.16223029379725434,0.01323088757092765,0.24665188163885488,0.03774573939273328,0.1639810851606812,0.4350107982831289,0.08165898905405454
3.05798,0.0736267926212942,0.1228095354877681,0.011077820601500487,0.22464312354313176,0.0036828899160331052,0.23882363622448516,0.4145175577169279,0.07081028645771746
3.2,0.03165947135975663,0.10596783159448254,0.0013663743615392673,0.20503581314786531,0.02721197792347775,0.2510262064270226,0.40195641895505063,0.10587242792563895
3.26202,0.0808875157465636,0.1302145995873252,0.03058450627368487,0.2210022184401449,0.0,0.2002918407354098,0.4138530098486276,0.07715657910863301
3.45798,0.038733619000207005,0.1010363830034431,0.016692414578290897,0.228617018210197,0.041821210115303944,0.24204006006055123,0.3814288826358211,0.10367154260504913
3.6,0.051241477700237126,0.1324142646382315,0.012317570127361033,0.18893499678123865,0.027458215834162424,0.19501649537264965,0.4082887795440049,0.09762221437715501
3.66202,0.08486930522440239,0.1276403871008714,0.0,0.2312361435835964,0.04499477134212254,0.17628185531593812,0.3857934850736397,0.10304320611415897
