,A,B,C,D,E,F,G,H
0.0,0.32288950960317275,0.03952189783289275,0.0,0.09059076291912765,0.018835497518865894,0.5123501843281879,0.7930125184389689,0.0
0.06202,0.27663089316580936,0.030335524682997852,0.0,0.09679314621551453,0.023387220483627336,0.48753204705721237,0.8112943713267525,0.014987686385993525
0.25798,0.18586173499830322,0.036462481994614215,0.043900980440094606,0.10061775577399133,0.004571730550463699,0.49170241844617957,0.7560533794704575,0.02639965829880935
0.4,0.2424672683148902,0.05078609826974602,0.0,0.12137668654498071,0.0,0.43757684489163323,0.7061507897658741,0.07909000171740688
0.46202,0.18097049583355776,0.02480446150824557,0.008631534985285806,0.13125882460705762,0.004711803916551867,0.43397510277134554,0.7075732635039157,0.061307384793232875
0.65798,0.16043506725241452,0.04919961614012002,0.00623142054041865,0.15537188889012785,0.0,0.4515119188523502,0.6960153965006237,0.08645442716452863
0.8,0.2391836072769956,0.058977756325034485,0.0,0.1888376998828627,0.0338971196610802,0.391547687261364,0.6714295576564728,0.08890119549898513
0.86202,0.19648222731642323,0.04161457082031411,0.020007796629866435,0.17875796400301114,0.0,0.4219130032522624,0.6914068255408943,0.09220633330263273
1.05798,0.13142167482667988,0.05834677461080824,0.018111522066847664,0.17520300539280514,0.0,0.3608494190005924,0.6752058167964656,0.09373266626434712
1.2,0.1249001731477915,0.011395834345103419,0.006498057456677149,0.16280953165726467,0.0,0.3597980555784894,0.6228851376498074,0.13206659932922443
1.26202,0.1312892560292843,0.07051605882257339,0.0,0.1815350263437983,0.0,0.3492961665805205,0.6671870395985785,0.13797826082910292
1.45798,0.06825784363997528,0.07865993564324264,0.0,0.2019987181506007,0.0027895030227883737,0.3265564499693331,0.6390449176926501,0.15039043589184117
1.6,0.09076458709872556,0.11144446200535073,0.0,0.21584292516828602,0.004909947080421431,0.30020139449063915,0.6352904254467963,0.17265154208961978
1.66202,0.09782791370871174,0.0772166610631587,0.0,0.19850166364730268,0.006924214835205413,0.31050872985424305,0.622475746202939,0.11639325058657216
1.85798,0.07486947574023031,0.08632769453581869,0.0,0.17704534601819938,0.00432685140512835,0.3489906396245359,0.6475848708366847,0.1810416821005137
2.0,0.0492893104809132,0.043989383574428886,0.011262069346811858,0.18092602734064697,0.02601373793045484,0.3189418608216076,0.6307907204537072,0.18169601785150977
2.06202,0.11038114325614937,0.08725336226190054,0.018827413358788913,0.20962759664756342,0.00200647531066493,0.32499249347739356,0.5601932775139831,0.17951812593873745
2.25798,0.0854932503679047,0.06960458609257202,0.022410517651829092,0.18132232512892024,0.02872178323393926,0.2992543420099219,0.6198855694458247,0.19963442604232734
2.4,0.07597222493286858,0.045686553306236825,0.0,0.202368390407053,0.005351471033174784,0.2868768105396082,0.6026115881527897,0.23865723638773
2.46202,0.07441854365455602,0.08999133004341275,0.012275618497079022,0.20071721107370558,0.034838449174966826,0.29135360686480843,0.6102595071781917,0.21384725127391732
2.65798,0.07809878260752995,0.09110687699881181,0.055348603040580216,0.1946070836505365,0.0013705253004785787,0.31378650448201195,0.6036941369027088,0.2412594589160939
2.8,0.027959793239718873,0.062030143627246646,8.377010413261957e-05,0.2541606907127896,0.036341854523432734,0.2408839386878062,0.5674965284295468,0.24773467918157485
2.86202,0.04781148849283228,0.0552398298386171,0.033218829336521594,0.1910594181787728,0.04469274916676495,0.27000041387724516,0.5399548173896261,0.1979636000903441
3.05798,0.018182929349784067,0.07087878309942353,0.02937818193446707,0.23502862024119484,0.0,0.252957365899668,0.5789054942469065,0.21489471724145395
3.2,0.02546834672029242,0.07505030489615384,0.04305745610331093,0.2186476797101728,0.032137009192916274,0.2932950979312065,0.5784661744171279,0.26920487367403834
3.26202,0.04551555575479503,0.08544375390397392,0.0034056037851319526,0.1683341340496538,0.009797218042408254,0.24394529369478837,0.5398297121769825,0.23450107456788585
3.45798,0.003972981533418844,0.0505203208007952,0.002584580997120143,0.19105965276533027,0.04310173739423277,0.22202792146658717,0.5459881961331884,0.26086831462245813
3.6,0.02757493507519398,0.099702238352444,0.01699460042792122,0.1777744240381419,0.02489143068669382,0.27375557315260574,0.5315364014098877,0.2862617279511526
3.66202,0.03540581939379538,0.06941054691951033,0.0335047699564586,0.19519236529134676,0.05155903563767354,0.20390880761541796,0.5229465653996641,0.3000655393556412
3.85798,0.0,0.0933853327693295,0.0,0.17730819958410615,0.018799931036556906,0.18828276070960462,0.5310379397207865,0.2609633210811339
