,A,B,C,D
0.0,1.0419886229982098,0.9573022230707583,-0.11283689779277016,-0.06399159928208037
0.544445,0.6060333392972816,0.5072127821597228,0.3351569746332794,0.178738668654328
1.166667,0.40861257179869026,0.1926819818510444,0.27240623574721157,0.24973627020044614
1.711111,0.4981387405733723,0.17199337014351848,0.28955549063732317,0.2513446033354416
2.333333,0.45102596061465616,0.13212812046522654,0.19606803659523347,0.2812459278808791
2.877778,0.41254727728906865,0.027522485743709236,0.23414834917550495,0.40470915237296184
3.5,0.416363633451477,0.005804918351178651,0.26781090284441605,0.3971354758997833
4.044445,0.5086321487497337,0.1073300354133819,0.2875376955436331,0.33113193473130054
4.666667,0.4034011537309321,-0.015037747095746755,0.17414249648621782,0.38292191205620746
5.211111,0.414045727138331,-0.034160050016319804,0.27177044500426917,0.3733710853306204
5.833333,0.44476179927381615,0.034212400679961764,0.18685117090942496,0.5333884372797993
6.377778,0.3326072974413274,0.04763065131931821,0.1946200826922885,0.3307366763298228
7.0,0.3699707861056251,-0.08274737859323757,0.17637806708133938,0.40489319244363164
