,A,B,C,D,T
0.0,0.9008993025546173,2.012469577732608,0.008105103999579097,0.011200388489456339,273
1.166667,0.48016757361321866,1.194383780460406,0.38228505592693046,0.19360768392839015,273
2.5,0.14086480086477227,0.7109560900923071,0.3484005080246848,0.4867734399197041,273
3.666667,0.17905084405257587,0.5795417596125373,0.22745456203613199,0.46693870282777705,273
5.0,0.16499766424059542,0.43962508644650866,0.26517184993780907,0.6378965504767004,273
6.166667,0.14647760181047037,0.37204502311055476,0.23794998389185257,0.8042048887951565,273
7.5,0.09852836076705815,0.3021064810203393,0.17778137648222128,0.7911379575126181,273
8.666667,0.12322739628404152,0.20897265240635954,0.1522268069964036,0.7324224990533517,273
10.0,0.1213176283363717,0.16311551540441838,0.1358169288819009,0.8733253223663007,273
11.166667,0.07702295237998122,0.2736791840569335,0.09728742266647197,0.8077664003461288,273
12.5,0.09290742527268134,0.18476408695543026,0.11653261275017711,0.8812706060717227,273
13.666667,0.015020122539475905,0.14322534370800963,0.15693615953634957,0.8021117124412668,273
15.0,0.03434694247564693,0.1595316333049062,0.09626787662573766,0.8260280633264566,273
